,a_saddr,b_saddr,a_saddr_asn,a_saddr_asorg,a_saddr_as_ip,a_saddr_lat,a_saddr_long,b_saddr_asn,b_saddr_asorg,b_saddr_as_ip,b_saddr_lat,b_saddr_long,send_A
29841,1616866353,1654599251,7922,"Comcast Cable Communications, LLC",96.95.108.49,41.8876,-87.6368,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,True
30482,1654599251,1676840295,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,812,Rogers Communications Canada Inc.,99.242.141.103,48.9682,-54.5906,False
31591,1210508163,1654599250,7992,Cogeco Cable,72.38.227.131,42.9888,-82.3592,395766,CloudPBX,98.159.46.82,40.7432,-75.2242,True
31838,1654599250,3640363090,395766,CloudPBX,98.159.46.82,40.7432,-75.2242,14007,Skyway West,216.251.136.82,49.2788,-123.1139,False
32235,1654599250,855010549,395766,CloudPBX,98.159.46.82,40.7432,-75.2242,7922,"Comcast Cable Communications, LLC",50.246.108.245,38.9057,-76.9783,False
32367,2393257058,1654599251,855,Bell Canada,142.166.52.98,47.5334,-52.7595,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,True
32658,1745319148,1654599251,7018,"AT&T Services, Inc.",104.7.116.236,39.8401,-86.0548,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,True
32962,855405977,1654599250,7922,"Comcast Cable Communications, LLC",50.252.117.153,41.7195,-86.2064,395766,CloudPBX,98.159.46.82,40.7432,-75.2242,True
34196,1654599250,1616866354,395766,CloudPBX,98.159.46.82,40.7432,-75.2242,7922,"Comcast Cable Communications, LLC",96.95.108.50,41.8876,-87.6368,False
35662,2918435450,1654599251,40191,ZEROFAIL,173.243.202.122,45.4987,-73.5793,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,True
35707,1654599251,3514831954,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,855,Bell Canada,209.128.20.82,47.5167,-52.7833,False
35865,1676840295,1654599250,812,Rogers Communications Canada Inc.,99.242.141.103,48.9682,-54.5906,395766,CloudPBX,98.159.46.82,40.7432,-75.2242,True
36827,2393277605,1654599250,855,Bell Canada,142.166.132.165,45.2308,-66.0953,395766,CloudPBX,98.159.46.82,40.7432,-75.2242,True
38946,1749006169,1654599250,7018,"AT&T Services, Inc.",104.63.183.89,39.9738,-86.1765,395766,CloudPBX,98.159.46.82,40.7432,-75.2242,True
41021,1654599250,1096686281,395766,CloudPBX,98.159.46.82,40.7432,-75.2242,577,Bell Canada,65.94.26.201,46.7749,-71.3344,False
41133,2393257380,1654599250,855,Bell Canada,142.166.53.164,47.5334,-52.7595,395766,CloudPBX,98.159.46.82,40.7432,-75.2242,True
41157,2393314888,1654599251,855,Bell Canada,142.167.22.72,47.5194,-52.8122,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,True
42418,3225808030,1654599250,7992,Cogeco Cable,192.69.236.158,43.6319,-79.3716,395766,CloudPBX,98.159.46.82,40.7432,-75.2242,True
43609,1654599251,855187221,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,7922,"Comcast Cable Communications, LLC",50.249.31.21,39.3656,-76.6199,False
44722,2393257342,1654599251,855,Bell Canada,142.166.53.126,47.5334,-52.7595,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,True
46220,851601933,1654599251,7922,"Comcast Cable Communications, LLC",50.194.106.13,37.751,-97.822,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,True
47989,1654599251,2904576785,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,812,Rogers Communications Canada Inc.,173.32.83.17,47.5986,-52.6926,False
48884,411891757,1654599251,40788,Start Communications,24.140.248.45,42.9888,-82.3592,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,True
49188,3480447026,1654599251,11478,Openface Inc.,207.115.104.50,45.4805,-73.5554,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,True
56554,1654599250,3480447027,395766,CloudPBX,98.159.46.82,40.7432,-75.2242,11478,Openface Inc.,207.115.104.51,45.4805,-73.5554,False
60015,410719962,1654599251,33363,"BRIGHT HOUSE NETWORKS, LLC",24.123.22.218,40.5099,-85.6264,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,True
62959,1210491342,1654599250,7992,Cogeco Cable,72.38.161.206,42.3167,-82.9,395766,CloudPBX,98.159.46.82,40.7432,-75.2242,True
63135,1210491342,1654599251,7992,Cogeco Cable,72.38.161.206,42.3167,-82.9,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,True
66463,1663736670,1654599251,7018,"AT&T Services, Inc.",99.42.155.94,37.751,-97.822,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,True
66806,2913301853,1654599250,7922,"Comcast Cable Communications, LLC",173.165.117.93,37.751,-97.822,395766,CloudPBX,98.159.46.82,40.7432,-75.2242,True
67650,1804310580,1654599250,7018,"AT&T Services, Inc.",107.139.152.52,41.7403,-87.654,395766,CloudPBX,98.159.46.82,40.7432,-75.2242,True
67906,2918435450,1654599250,40191,ZEROFAIL,173.243.202.122,45.4987,-73.5793,395766,CloudPBX,98.159.46.82,40.7432,-75.2242,True
68380,1616866353,1654599250,7922,"Comcast Cable Communications, LLC",96.95.108.49,41.8876,-87.6368,395766,CloudPBX,98.159.46.82,40.7432,-75.2242,True
68940,1654599250,1229012093,395766,CloudPBX,98.159.46.82,40.7432,-75.2242,7922,"Comcast Cable Communications, LLC",73.65.60.125,44.9198,-93.4832,False
69856,1804310580,1654599251,7018,"AT&T Services, Inc.",107.139.152.52,41.7403,-87.654,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,True
74190,1676361733,1654599251,812,Rogers Communications Canada Inc.,99.235.64.5,43.8177,-79.2819,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,True
76979,2391207502,1654599251,855,Bell Canada,142.134.238.78,47.483,-52.8415,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,True
77762,2391207502,1654599250,855,Bell Canada,142.134.238.78,47.483,-52.8415,395766,CloudPBX,98.159.46.82,40.7432,-75.2242,True
78445,2393068192,1654599251,855,Bell Canada,142.163.82.160,47.5986,-52.6926,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,True
80401,1654599251,1599332522,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,13280,Three Ireland (Hutchison) limited,95.83.224.170,53.3331,-6.2489,False
84679,1282584635,1654599250,7922,"Comcast Cable Communications, LLC",76.114.176.59,39.2575,-76.4951,395766,CloudPBX,98.159.46.82,40.7432,-75.2242,True
85902,410720570,1654599250,33363,"BRIGHT HOUSE NETWORKS, LLC",24.123.25.58,39.895,-86.1804,395766,CloudPBX,98.159.46.82,40.7432,-75.2242,True
86114,1282584635,1654599251,7922,"Comcast Cable Communications, LLC",76.114.176.59,39.2575,-76.4951,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,True
86498,3480447026,1654599250,11478,Openface Inc.,207.115.104.50,45.4805,-73.5554,395766,CloudPBX,98.159.46.82,40.7432,-75.2242,True
88289,1210505719,1654599251,7992,Cogeco Cable,72.38.217.247,42.9578,-82.2777,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,True
89496,1210498534,1654599250,7992,Cogeco Cable,72.38.189.230,42.8833,-82.15,395766,CloudPBX,98.159.46.82,40.7432,-75.2242,True
89571,1654599250,409640138,395766,CloudPBX,98.159.46.82,40.7432,-75.2242,33363,"BRIGHT HOUSE NETWORKS, LLC",24.106.156.202,40.4894,-85.5977,False
89856,1210498534,1654599251,7992,Cogeco Cable,72.38.189.230,42.8833,-82.15,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,True
93018,243845606,1654599251,10103,HK Broadband Network Ltd.,14.136.201.230,22.2833,114.15,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,True
94306,1229012093,1654599251,7922,"Comcast Cable Communications, LLC",73.65.60.125,44.9198,-93.4832,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,True
94680,1654599251,1745319148,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,7018,"AT&T Services, Inc.",104.7.116.236,39.8401,-86.0548,False
100664,1654599250,1668866301,395766,CloudPBX,98.159.46.82,40.7432,-75.2242,7018,"AT&T Services, Inc.",99.120.224.253,42.5038,-83.4764,False
109974,1654599250,1806414516,395766,CloudPBX,98.159.46.82,40.7432,-75.2242,5769,Videotron Telecom Ltee,107.171.178.180,45.5055,-73.8789,False
109975,2914149279,1654599250,5769,Videotron Telecom Ltee,173.178.99.159,45.504,-73.5747,395766,CloudPBX,98.159.46.82,40.7432,-75.2242,True
110023,851601933,1654599250,7922,"Comcast Cable Communications, LLC",50.194.106.13,37.751,-97.822,395766,CloudPBX,98.159.46.82,40.7432,-75.2242,True
111819,1208101574,1654599251,6327,Shaw Communications Inc.,72.2.42.198,49.2779,-123.0908,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,True
112438,1654599251,2393257217,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,855,Bell Canada,142.166.53.1,47.5334,-52.7595,False
113403,1806414516,1654599250,5769,Videotron Telecom Ltee,107.171.178.180,45.5055,-73.8789,395766,CloudPBX,98.159.46.82,40.7432,-75.2242,True
126875,1745319148,1654599250,7018,"AT&T Services, Inc.",104.7.116.236,39.8401,-86.0548,395766,CloudPBX,98.159.46.82,40.7432,-75.2242,True
127255,1255890618,1654599251,33363,"BRIGHT HOUSE NETWORKS, LLC",74.219.94.186,39.7851,-86.1665,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,True
129730,1178986754,1654599250,6327,Shaw Communications Inc.,70.69.233.2,49.2196,-122.6164,395766,CloudPBX,98.159.46.82,40.7432,-75.2242,True
130119,1178986754,1654599251,6327,Shaw Communications Inc.,70.69.233.2,49.2196,-122.6164,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,True
133182,1654599251,1663736670,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,7018,"AT&T Services, Inc.",99.42.155.94,37.751,-97.822,False
135737,1217090222,1654599251,812,Rogers Communications Canada Inc.,72.139.82.174,43.6192,-79.6538,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,True
137953,1676361733,1654599250,812,Rogers Communications Canada Inc.,99.235.64.5,43.8177,-79.2819,395766,CloudPBX,98.159.46.82,40.7432,-75.2242,True
145262,1208101574,1654599250,6327,Shaw Communications Inc.,72.2.42.198,49.2779,-123.0908,395766,CloudPBX,98.159.46.82,40.7432,-75.2242,True
147149,3132943948,1654599251,18809,Cable Onda,186.188.238.76,8.9936,-79.5197,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,True
149894,1654599251,3487926574,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,6079,RCN,207.229.137.46,42.0382,-87.7285,False
154223,1806414516,1654599251,5769,Videotron Telecom Ltee,107.171.178.180,45.5055,-73.8789,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,True
158726,1632525706,1654599251,33363,"BRIGHT HOUSE NETWORKS, LLC",97.78.93.138,39.9738,-86.1765,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,True
160015,1654599250,411891757,395766,CloudPBX,98.159.46.82,40.7432,-75.2242,40788,Start Communications,24.140.248.45,42.9888,-82.3592,False
160440,1654599250,855187221,395766,CloudPBX,98.159.46.82,40.7432,-75.2242,7922,"Comcast Cable Communications, LLC",50.249.31.21,39.3656,-76.6199,False
160974,407905521,1654599250,6327,Shaw Communications Inc.,24.80.36.241,49.2275,-122.9301,395766,CloudPBX,98.159.46.82,40.7432,-75.2242,True
162403,2730633589,1654599250,7018,"AT&T Services, Inc.",162.194.41.117,39.8512,-86.2651,395766,CloudPBX,98.159.46.82,40.7432,-75.2242,True
163328,3638379311,1654599251,7992,Cogeco Cable,216.221.67.47,42.9578,-82.2777,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,True
163329,1654599251,846445562,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,7992,Cogeco Cable,50.115.187.250,42.9578,-82.2777,False
164883,1611996983,1654599250,5769,Videotron Telecom Ltee,96.21.31.55,47.8304,-69.5342,395766,CloudPBX,98.159.46.82,40.7432,-75.2242,True
164921,1667304995,1654599250,7018,"AT&T Services, Inc.",99.97.14.35,41.8802,-87.7566,395766,CloudPBX,98.159.46.82,40.7432,-75.2242,True
175868,1667304995,1654599251,7018,"AT&T Services, Inc.",99.97.14.35,41.8802,-87.7566,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,True
182317,1654599250,1616866353,395766,CloudPBX,98.159.46.82,40.7432,-75.2242,7922,"Comcast Cable Communications, LLC",96.95.108.49,41.8876,-87.6368,False
182799,3638379311,1654599250,7992,Cogeco Cable,216.221.67.47,42.9578,-82.2777,395766,CloudPBX,98.159.46.82,40.7432,-75.2242,True
182800,1654599250,846445562,395766,CloudPBX,98.159.46.82,40.7432,-75.2242,7992,Cogeco Cable,50.115.187.250,42.9578,-82.2777,False
190105,1654599250,855009785,395766,CloudPBX,98.159.46.82,40.7432,-75.2242,7922,"Comcast Cable Communications, LLC",50.246.105.249,38.9057,-76.9783,False
195503,1179757332,1654599251,5769,Videotron Telecom Ltee,70.81.171.20,45.45,-73.75,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,True
195534,1179757332,1654599250,5769,Videotron Telecom Ltee,70.81.171.20,45.45,-73.75,395766,CloudPBX,98.159.46.82,40.7432,-75.2242,True
201395,1611996983,1654599251,5769,Videotron Telecom Ltee,96.21.31.55,47.8304,-69.5342,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,True
205921,1654599251,411891757,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,40788,Start Communications,24.140.248.45,42.9888,-82.3592,False
209140,1654599251,2730633589,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,7018,"AT&T Services, Inc.",162.194.41.117,39.8512,-86.2651,False
209229,1654599251,410720570,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,33363,"BRIGHT HOUSE NETWORKS, LLC",24.123.25.58,39.895,-86.1804,False
209328,1654599251,1676003536,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,812,Rogers Communications Canada Inc.,99.229.200.208,43.6572,-79.3783,False
230042,1632555294,1654599250,33363,"BRIGHT HOUSE NETWORKS, LLC",97.78.209.30,39.7851,-86.1665,395766,CloudPBX,98.159.46.82,40.7432,-75.2242,True
238537,1654599251,1282584635,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,7922,"Comcast Cable Communications, LLC",76.114.176.59,39.2575,-76.4951,False
238796,2393257317,1654599250,855,Bell Canada,142.166.53.101,47.5334,-52.7595,395766,CloudPBX,98.159.46.82,40.7432,-75.2242,True
240392,2392981629,1654599251,855,Bell Canada,142.162.0.125,47.5986,-52.6926,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,True
242488,1654599250,1632556726,395766,CloudPBX,98.159.46.82,40.7432,-75.2242,33363,"BRIGHT HOUSE NETWORKS, LLC",97.78.214.182,39.7851,-86.1665,False
245849,1632555294,1654599251,33363,"BRIGHT HOUSE NETWORKS, LLC",97.78.209.30,39.7851,-86.1665,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,True
249257,1136605703,1654599251,7922,"Comcast Cable Communications, LLC",67.191.58.7,26.1489,-80.1257,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,True
250974,2392981629,1654599250,855,Bell Canada,142.162.0.125,47.5986,-52.6926,395766,CloudPBX,98.159.46.82,40.7432,-75.2242,True
255093,792166888,1654599250,855,Bell Canada,47.55.129.232,47.5167,-52.7833,395766,CloudPBX,98.159.46.82,40.7432,-75.2242,True
258614,792166888,1654599251,855,Bell Canada,47.55.129.232,47.5167,-52.7833,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,True
267792,1654599250,1749006169,395766,CloudPBX,98.159.46.82,40.7432,-75.2242,7018,"AT&T Services, Inc.",104.63.183.89,39.9738,-86.1765,False
279344,1654599251,2918435450,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,40191,ZEROFAIL,173.243.202.122,45.4987,-73.5793,False
280714,1676738700,1654599250,812,Rogers Communications Canada Inc.,99.241.0.140,44.5168,-80.0164,395766,CloudPBX,98.159.46.82,40.7432,-75.2242,True
280715,1654599250,1761238166,395766,CloudPBX,98.159.46.82,40.7432,-75.2242,15128,Comwave Telecom Inc.,104.250.92.150,43.0233,-81.1643,False
280736,1676738700,1654599251,812,Rogers Communications Canada Inc.,99.241.0.140,44.5168,-80.0164,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,True
280737,1654599251,1761238166,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,15128,Comwave Telecom Inc.,104.250.92.150,43.0233,-81.1643,False
288701,416559370,1654599251,35911,Telebec,24.212.49.10,48.1002,-77.7828,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,True
314443,3625170708,1654599250,40029,Novus Entertainment Inc.,216.19.183.20,49.2788,-123.1139,395766,CloudPBX,98.159.46.82,40.7432,-75.2242,True
314450,3473289421,1654599250,852,TELUS Communications Inc.,207.6.48.205,49.2666,-123.1976,395766,CloudPBX,98.159.46.82,40.7432,-75.2242,True
325563,1827712019,1654599250,7018,"AT&T Services, Inc.",108.240.172.19,39.8512,-86.2651,395766,CloudPBX,98.159.46.82,40.7432,-75.2242,True
329869,1612181439,1654599251,5769,Videotron Telecom Ltee,96.23.239.191,45.4667,-73.8833,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,True
333221,1654599251,1616866353,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,7922,"Comcast Cable Communications, LLC",96.95.108.49,41.8876,-87.6368,False
335834,1210478362,1654599251,7992,Cogeco Cable,72.38.111.26,42.2767,-83.0793,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,True
336149,1176143780,1654599250,577,Bell Canada,70.26.135.164,43.9251,-78.8287,395766,CloudPBX,98.159.46.82,40.7432,-75.2242,True
340019,1823230797,1654599250,852,TELUS Communications Inc.,108.172.75.77,49.0331,-123.0877,395766,CloudPBX,98.159.46.82,40.7432,-75.2242,True
354438,1654599251,2393314675,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,855,Bell Canada,142.167.21.115,47.5194,-52.8122,False
355537,1654599250,2393257217,395766,CloudPBX,98.159.46.82,40.7432,-75.2242,855,Bell Canada,142.166.53.1,47.5334,-52.7595,False
357565,1654599251,1217122175,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,20453,Rogers Communications Canada Inc.,72.139.207.127,43.6404,-79.3995,False
358395,1827712019,1654599251,7018,"AT&T Services, Inc.",108.240.172.19,39.8512,-86.2651,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,True
360830,1654599251,1632556726,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,33363,"BRIGHT HOUSE NETWORKS, LLC",97.78.214.182,39.7851,-86.1665,False
364135,1654599251,1217120017,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,20453,Rogers Communications Canada Inc.,72.139.199.17,43.6404,-79.3995,False
375376,1654599250,2886637142,395766,CloudPBX,98.159.46.82,40.7432,-75.2242,7018,"AT&T Services, Inc.",172.14.150.86,39.8227,-86.145,False
375473,1654599250,410719962,395766,CloudPBX,98.159.46.82,40.7432,-75.2242,33363,"BRIGHT HOUSE NETWORKS, LLC",24.123.22.218,40.5099,-85.6264,False
376358,1654599251,855009785,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,7922,"Comcast Cable Communications, LLC",50.246.105.249,38.9057,-76.9783,False
379665,1210492883,1654599251,7992,Cogeco Cable,72.38.167.211,42.9578,-82.2777,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,True
392376,1654599250,3475127854,395766,CloudPBX,98.159.46.82,40.7432,-75.2242,6171,WorldGate,207.34.62.46,53.55,-113.5,False
413459,2393257389,1654599250,855,Bell Canada,142.166.53.173,47.5334,-52.7595,395766,CloudPBX,98.159.46.82,40.7432,-75.2242,True
415869,2393257389,1654599251,855,Bell Canada,142.166.53.173,47.5334,-52.7595,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,True
429730,1654599251,2393257058,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,855,Bell Canada,142.166.52.98,47.5334,-52.7595,False
430490,2734649927,1654599251,40788,Start Communications,162.255.114.71,43.623,-79.3936,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,True
432530,2734649927,1654599250,40788,Start Communications,162.255.114.71,43.623,-79.3936,395766,CloudPBX,98.159.46.82,40.7432,-75.2242,True
439048,1654599251,1827712019,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,7018,"AT&T Services, Inc.",108.240.172.19,39.8512,-86.2651,False
447810,3517667526,1654599250,852,TELUS Communications Inc.,209.171.88.198,43.6655,-79.4204,395766,CloudPBX,98.159.46.82,40.7432,-75.2242,True
468913,1676089078,1654599250,812,Rogers Communications Canada Inc.,99.231.22.246,43.6656,-79.383,395766,CloudPBX,98.159.46.82,40.7432,-75.2242,True
468964,1676089078,1654599251,812,Rogers Communications Canada Inc.,99.231.22.246,43.6656,-79.383,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,True
471735,1176143780,1654599251,577,Bell Canada,70.26.135.164,43.9251,-78.8287,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,True
483270,3096912917,1654599250,36522,BELL MOBILITY INC.,184.151.36.21,43.4389,-80.2649,395766,CloudPBX,98.159.46.82,40.7432,-75.2242,True
483799,413969162,1654599250,33363,"BRIGHT HOUSE NETWORKS, LLC",24.172.171.10,40.0698,-85.9817,395766,CloudPBX,98.159.46.82,40.7432,-75.2242,True
492995,1088895481,1654599250,577,Bell Canada,64.231.57.249,43.8769,-79.2686,395766,CloudPBX,98.159.46.82,40.7432,-75.2242,True
498120,413969162,1654599251,33363,"BRIGHT HOUSE NETWORKS, LLC",24.172.171.10,40.0698,-85.9817,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,True
508512,1217090222,1654599250,812,Rogers Communications Canada Inc.,72.139.82.174,43.6192,-79.6538,395766,CloudPBX,98.159.46.82,40.7432,-75.2242,True
534719,1654599251,413969162,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,33363,"BRIGHT HOUSE NETWORKS, LLC",24.172.171.10,40.0698,-85.9817,False
535552,1632525706,1654599250,33363,"BRIGHT HOUSE NETWORKS, LLC",97.78.93.138,39.9738,-86.1765,395766,CloudPBX,98.159.46.82,40.7432,-75.2242,True
561705,2904668966,1654599250,812,Rogers Communications Canada Inc.,173.33.187.38,43.6192,-79.6538,395766,CloudPBX,98.159.46.82,40.7432,-75.2242,True
567436,3322970521,1654599250,1403,EBOX,198.16.129.153,43.6564,-79.386,395766,CloudPBX,98.159.46.82,40.7432,-75.2242,True
575781,1675903376,1654599250,812,Rogers Communications Canada Inc.,99.228.65.144,43.8582,-79.3985,395766,CloudPBX,98.159.46.82,40.7432,-75.2242,True
575985,1654599250,1675903376,395766,CloudPBX,98.159.46.82,40.7432,-75.2242,812,Rogers Communications Canada Inc.,99.228.65.144,43.8582,-79.3985,False
578583,3517667554,1654599250,852,TELUS Communications Inc.,209.171.88.226,43.6655,-79.4204,395766,CloudPBX,98.159.46.82,40.7432,-75.2242,True
590041,1654599250,1745319148,395766,CloudPBX,98.159.46.82,40.7432,-75.2242,7018,"AT&T Services, Inc.",104.7.116.236,39.8401,-86.0548,False
594718,3423417093,1654599251,36077,Dynamic ASP Inc.,204.13.51.5,44.6533,-63.6675,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,True
595450,3423417093,1654599250,36077,Dynamic ASP Inc.,204.13.51.5,44.6533,-63.6675,395766,CloudPBX,98.159.46.82,40.7432,-75.2242,True
599544,1176143091,1654599251,577,Bell Canada,70.26.132.243,43.9251,-78.8287,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,True
600619,1176143091,1654599250,577,Bell Canada,70.26.132.243,43.9251,-78.8287,395766,CloudPBX,98.159.46.82,40.7432,-75.2242,True
627762,416559370,1654599250,35911,Telebec,24.212.49.10,48.1002,-77.7828,395766,CloudPBX,98.159.46.82,40.7432,-75.2242,True
635151,3517667397,1654599250,852,TELUS Communications Inc.,209.171.88.69,43.6655,-79.4204,395766,CloudPBX,98.159.46.82,40.7432,-75.2242,True
641892,1654599251,1255890618,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,33363,"BRIGHT HOUSE NETWORKS, LLC",74.219.94.186,39.7851,-86.1665,False
642166,1654599250,2918435450,395766,CloudPBX,98.159.46.82,40.7432,-75.2242,40191,ZEROFAIL,173.243.202.122,45.4987,-73.5793,False
643764,846445562,1654599250,7992,Cogeco Cable,50.115.187.250,42.9578,-82.2777,395766,CloudPBX,98.159.46.82,40.7432,-75.2242,True
675502,846445562,1654599251,7992,Cogeco Cable,50.115.187.250,42.9578,-82.2777,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,True
710393,1823230797,1654599251,852,TELUS Communications Inc.,108.172.75.77,49.0331,-123.0877,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,True
710394,1654599251,1268519453,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,852,TELUS Communications Inc.,75.156.18.29,49.0791,-122.7553,False
711556,2548827754,1654599251,57169,EDIS GmbH,151.236.6.106,48.2,16.3667,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,True
711560,2548827754,1654599250,57169,EDIS GmbH,151.236.6.106,48.2,16.3667,395766,CloudPBX,98.159.46.82,40.7432,-75.2242,True
712157,1228312189,1654599250,7922,"Comcast Cable Communications, LLC",73.54.142.125,34.1036,-84.6374,395766,CloudPBX,98.159.46.82,40.7432,-75.2242,True
715898,2392989209,1654599250,855,Bell Canada,142.162.30.25,47.5986,-52.6926,395766,CloudPBX,98.159.46.82,40.7432,-75.2242,True
718165,2392989209,1654599251,855,Bell Canada,142.162.30.25,47.5986,-52.6926,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,True
724063,1176497890,1654599250,577,Bell Canada,70.31.238.226,46.7749,-71.3344,395766,CloudPBX,98.159.46.82,40.7432,-75.2242,True
726264,412232355,1654599251,7992,Cogeco Cable,24.146.42.163,42.95,-82.1167,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,True
752609,1654599250,1176497890,395766,CloudPBX,98.159.46.82,40.7432,-75.2242,577,Bell Canada,70.31.238.226,46.7749,-71.3344,False
753172,1654599251,2392989209,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,855,Bell Canada,142.162.30.25,47.5986,-52.6926,False
756211,1654599251,1176497890,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,577,Bell Canada,70.31.238.226,46.7749,-71.3344,False
756212,1176497890,1654599251,577,Bell Canada,70.31.238.226,46.7749,-71.3344,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,True
758428,412234379,1654599250,7992,Cogeco Cable,24.146.50.139,44.1665,-77.4037,395766,CloudPBX,98.159.46.82,40.7432,-75.2242,True
759580,412234379,1654599251,7992,Cogeco Cable,24.146.50.139,44.1665,-77.4037,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,True
760037,755171422,1654599251,40788,Start Communications,45.3.0.94,42.9976,-81.2563,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,True
760892,2479012700,1654599250,15128,Comwave Telecom Inc.,147.194.187.92,44.0168,-78.3995,395766,CloudPBX,98.159.46.82,40.7432,-75.2242,True
761038,2479012700,1654599251,15128,Comwave Telecom Inc.,147.194.187.92,44.0168,-78.3995,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,True
761529,1082947564,1654599251,40788,Start Communications,64.140.119.236,43.6572,-79.3783,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,True
763850,2393257317,1654599251,855,Bell Canada,142.166.53.101,47.5334,-52.7595,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,True
